timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678727999286,47,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-5,,true,,3190,2550,5,5,null,0,2,0
1678727999286,12,OP: product/50/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/50/price/,12,0,0
1678727999298,12,OP: product/51/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/51/price/,12,0,0
1678727999310,12,OP: product/52/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/52/price/,12,0,0
1678727999322,4,POST: product/51/price/,200,,Thread Group 1-5,text,true,,531,423,5,5,http://localhost:8080/api/v1/product/51/price/,3,0,0
1678727999327,3,POST: product/50/price/,200,,Thread Group 1-5,text,true,,529,423,5,5,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727999331,4,POST: product/52/price/,200,,Thread Group 1-5,text,true,,531,423,5,5,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727999335,69,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-5,,false,,5859,3236,5,5,null,0,5,0
1678727999335,15,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-5,,true,,533,443,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,15,0,0
1678727999351,13,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-5,,true,,533,432,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,13,0,0
1678727999365,13,OP: store/DEFAULT,200,,Thread Group 1-5,,true,,533,409,5,5,http://localhost:8080/api/v1/store/DEFAULT,13,0,0
1678727999379,13,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-5,,true,,533,448,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,13,0,0
1678727999392,3,GET: content/pages/,200,,Thread Group 1-5,text,true,,511,391,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1678727999395,4,GET: store/DEFAULT,200,,Thread Group 1-5,text,true,,1163,352,5,5,http://localhost:8080/api/v1/store/DEFAULT,3,0,0
1678727999399,5,GET: content/boxes/headerMessage/,404,,Thread Group 1-5,text,false,,522,375,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,5,0,0
1678727999405,3,GET: category,200,,Thread Group 1-5,text,true,,1531,386,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,3,0,0
1678727999409,11,S01_S01_OP: product/52/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/52/price/,11,0,0
1678727999420,11,S01_S01_OP: product/51/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/51/price/,11,0,0
1678727999432,11,S01_S01_OP: product/50/price/,200,,Thread Group 1-5,,true,,533,427,5,5,http://localhost:8080/api/v1/product/50/price/,11,0,0
1678727999443,4,S01_S01_POST: product/51/price/,200,,Thread Group 1-5,text,true,,531,423,5,5,http://localhost:8080/api/v1/product/51/price/,3,0,0
1678727999447,4,S01_S01_POST: product/50/price/,200,,Thread Group 1-5,text,true,,529,423,5,5,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727999451,4,S01_S01_POST: product/52/price/,200,,Thread Group 1-5,text,true,,531,423,5,5,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727999455,15,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-5,,true,,533,446,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,15,0,0
1678727999471,7,S01_S01_GET: products/group/FEATURED_ITEM,200,,Thread Group 1-5,text,true,,9311,389,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,6,0,0
1678727999478,11,S01_S01_OP: product/1/price/,200,,Thread Group 1-5,,true,,533,426,5,5,http://localhost:8080/api/v1/product/1/price/,11,0,0
1678727999490,11,S01_S01_OP: product/1/price/,200,,Thread Group 1-5,,true,,533,426,5,5,http://localhost:8080/api/v1/product/1/price/,11,0,0
1678727999501,4,S01_S01_POST: product/1/price/,200,,Thread Group 1-5,text,true,,531,422,5,5,http://localhost:8080/api/v1/product/1/price/,4,0,0
1678727999506,4,S01_S01_POST product/1/price/,200,,Thread Group 1-5,text,true,,531,422,5,5,http://localhost:8080/api/v1/product/1/price/,3,0,0
1678728000717,235,S01_02_TablesTab,404,"Number of samples in transaction : 12, number of failing samples : 2",Thread Group 1-5,,false,,14766,8152,5,5,null,0,36,0
1678728000717,8,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,983,761,5,5,null,0,1,0
1678728000718,5,/actuator/health/ping,200,,Thread Group 1-5,,true,,533,409,5,5,http://localhost:8080/actuator/health/ping,5,0,0
1678728000723,3,/actuator/health/ping,200,,Thread Group 1-5,text,true,,450,352,5,5,http://localhost:8080/actuator/health/ping,2,0,0
1678728000726,76,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-5,,false,,5859,3236,5,5,null,0,2,0
1678728000726,14,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-5,,true,,533,443,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,14,0,0
1678728000740,15,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-5,,true,,533,432,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,15,0,0
1678728000755,15,OP: store/DEFAULT,200,,Thread Group 1-5,,true,,533,409,5,5,http://localhost:8080/api/v1/store/DEFAULT,15,0,0
1678728000770,16,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-5,,true,,533,448,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,16,0,0
1678728000787,3,GET: content/pages/,200,,Thread Group 1-5,text,true,,511,391,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1678728000791,3,GET: store/DEFAULT,200,,Thread Group 1-5,text,true,,1163,352,5,5,http://localhost:8080/api/v1/store/DEFAULT,2,0,0
